regionID,region,Provincia,Distrito,Comuna,Lista,NºenVoto,Pacto,SubPacto,Partido,votosComuna
13,METROPOLITANA DE SANTIAGO,SANTIAGO,10,ÑUÑOA,H,24,PACTO CHILE VAMOS RN E INDEPENDIENTES,,INDEPENDIENTE,706
7,DEL MAULE,LINARES,18,PARRAL,H,17,PACTO CHILE VAMOS RN E INDEPENDIENTES,,INDEPENDIENTE,157
7,DEL MAULE,CAUQUENES,18,CHANCO,S,34,PACTO NUEVA MAYORIA POR CHILE,SUBPACTO PCCH E INDEPENDIENTES,PARTIDO COMUNISTA DE CHILE ,3
13,METROPOLITANA DE SANTIAGO,SANTIAGO,9,HUECHURABA,,48,CANDIDATURA INDEPENDIENTE,,INDEPENDIENTE,1387
13,METROPOLITANA DE SANTIAGO,SANTIAGO,12,LA PINTANA,J,33,PACTO CHILE VAMOS PRI-EVOPOLI E INDEPENDIENTES,SUBPACTO PRI E INDEPENDIENTES,INDEPENDIENTE,91
8,DEL BIOBIO,CONCEPCION,20,HUALPEN,S,55,PACTO NUEVA MAYORIA POR CHILE,SUBPACTO PPD E INDEPENDIENTES,PARTIDO POR LA DEMOCRACIA,1149
4,DE COQUIMBO,ELQUI,5,VICUÑA,B,5,PACTO NUEVA MAYORIA PARA CHILE,SUBPACTO PDC E INDEPENDIENTES,INDEPENDIENTE,415
2,DE ANTOFAGASTA,EL LOA,3,CALAMA,S,73,PACTO NUEVA MAYORIA POR CHILE,SUBPACTO PPD E INDEPENDIENTES,INDEPENDIENTE,94
1,DE TARAPACA,IQUIQUE,2,IQUIQUE,G,33,PACTO CON LA FUERZA DEL FUTURO,SUBPACTO PRSD E INDEPENDIENTES,INDEPENDIENTE,637
13,METROPOLITANA DE SANTIAGO,SANTIAGO,8,MAIPU,G,34,PACTO CON LA FUERZA DEL FUTURO,SUBPACTO PRSD E INDEPENDIENTES,PARTIDO RADICAL SOCIALDEMOCRATA,495
4,DE COQUIMBO,CHOAPA,5,SALAMANCA,G,13,PACTO CON LA FUERZA DEL FUTURO,SUBPACTO PRSD E INDEPENDIENTES,INDEPENDIENTE,271
4,DE COQUIMBO,CHOAPA,5,LOS VILOS,B,11,PACTO NUEVA MAYORIA PARA CHILE,SUBPACTO PDC E INDEPENDIENTES,INDEPENDIENTE,152
6,DEL LIBERTADOR BDO. O'HIGGINS,CACHAPOAL,15,MOSTAZAL,L,27,PACTO CHILE VAMOS UDI-INDEPENDIENTES,,UNION DEMOCRATA INDEPENDIENTE,539
7,DEL MAULE,CURICO,17,TENO,O,31,PACTO YO MARCO POR EL CAMBIO,SUBPACTO PRO E INDEPENDIENTES,PARTIDO PROGRESISTA ,927
1,DE TARAPACA,DEL TAMARUGAL,2,COLCHANE,L,28,PACTO CHILE VAMOS UDI-INDEPENDIENTES,,UNION DEMOCRATA INDEPENDIENTE,4
1,DE TARAPACA,DEL TAMARUGAL,2,COLCHANE,C,10,PACTO PODER ECOLOGISTA Y CIUDADANO,,PODER,49
1,DE TARAPACA,DEL TAMARUGAL,2,HUARA,S,37,PACTO NUEVA MAYORIA POR CHILE,SUBPACTO PCCH E INDEPENDIENTES,INDEPENDIENTE,23
1,DE TARAPACA,IQUIQUE,2,ALTO HOSPICIO,M,38,PACTO PUEBLO UNIDO,,INDEPENDIENTE,73
9,DE LA ARAUCANIA,CAUTIN,23,GORBEA,J,26,PACTO CHILE VAMOS PRI-EVOPOLI E INDEPENDIENTES,SUBPACTO EVOPOLI E INDEPENDIENTES,PARTIDO EVOLUCION POLITICA ,192
2,DE ANTOFAGASTA,TOCOPILLA,3,MARIA ELENA,H,15,PACTO CHILE VAMOS RN E INDEPENDIENTES,,RENOVACION NACIONAL ,132
9,DE LA ARAUCANIA,CAUTIN,23,CARAHUE,I,18,PACTO CHILE QUIERE AMPLITUD,,INDEPENDIENTE,89
6,DEL LIBERTADOR BDO. O'HIGGINS,COLCHAGUA,16,PUMANQUE,B,5,PACTO NUEVA MAYORIA PARA CHILE,SUBPACTO PDC E INDEPENDIENTES,INDEPENDIENTE,220
8,DEL BIOBIO,ÑUBLE,19,SAN IGNACIO,B,8,PACTO NUEVA MAYORIA PARA CHILE,SUBPACTO PS E INDEPENDIENTES,INDEPENDIENTE,187
13,METROPOLITANA DE SANTIAGO,SANTIAGO,10,LA GRANJA,S,70,PACTO NUEVA MAYORIA POR CHILE,SUBPACTO PPD E INDEPENDIENTES,PARTIDO POR LA DEMOCRACIA,77
,AISEN DEL GRAL. CARLOS IBAÑEZ,COYHAIQUE,27,COYHAIQUE,J,30,PACTO CHILE VAMOS PRI-EVOPOLI E INDEPENDIENTES,SUBPACTO EVOPOLI E INDEPENDIENTES,PARTIDO EVOLUCION POLITICA ,63
7,DEL MAULE,TALCA,17,MAULE,J,24,PACTO CHILE VAMOS PRI-EVOPOLI E INDEPENDIENTES,SUBPACTO PRI E INDEPENDIENTES,PARTIDO REGIONALISTA INDEPENDIENTE,61
9,DE LA ARAUCANIA,CAUTIN,22,GALVARINO,B,6,PACTO NUEVA MAYORIA PARA CHILE,SUBPACTO PDC E INDEPENDIENTES,PARTIDO DEMOCRATA CRISTIANO,326
3,DE ATACAMA,CHAÑARAL,4,CHAÑARAL,L,29,PACTO CHILE VAMOS UDI-INDEPENDIENTES,,UNION DEMOCRATA INDEPENDIENTE,28
9,DE LA ARAUCANIA,MALLECO,22,ERCILLA,L,23,PACTO CHILE VAMOS UDI-INDEPENDIENTES,,INDEPENDIENTE,24
7,DEL MAULE,TALCA,17,SAN RAFAEL,G,12,PACTO CON LA FUERZA DEL FUTURO,SUBPACTO PRSD E INDEPENDIENTES,INDEPENDIENTE,114
14,DE LOS RIOS,VALDIVIA,24,VALDIVIA,S,59,PACTO NUEVA MAYORIA POR CHILE,SUBPACTO PCCH E INDEPENDIENTES,PARTIDO COMUNISTA DE CHILE ,276
4,DE COQUIMBO,LIMARI,5,PUNITAQUI,B,7,PACTO NUEVA MAYORIA PARA CHILE,SUBPACTO PS E INDEPENDIENTES,PARTIDO SOCIALISTA DE CHILE ,183
3,DE ATACAMA,COPIAPO,4,COPIAPO,S,69,PACTO NUEVA MAYORIA POR CHILE,SUBPACTO PCCH E INDEPENDIENTES,PARTIDO COMUNISTA DE CHILE ,1081
2,DE ANTOFAGASTA,ANTOFAGASTA,3,ANTOFAGASTA,B,10,PACTO NUEVA MAYORIA PARA CHILE,SUBPACTO PS E INDEPENDIENTES,PARTIDO SOCIALISTA DE CHILE ,1561
5,DE VALPARAISO,VALPARAISO,7,VIÑA DEL MAR,S,73,PACTO NUEVA MAYORIA POR CHILE,SUBPACTO PPD E INDEPENDIENTES,PARTIDO POR LA DEMOCRACIA,1610
4,DE COQUIMBO,CHOAPA,5,SALAMANCA,L,26,PACTO CHILE VAMOS UDI-INDEPENDIENTES,,UNION DEMOCRATA INDEPENDIENTE,593
8,DEL BIOBIO,ÑUBLE,19,EL CARMEN,J,18,PACTO CHILE VAMOS PRI-EVOPOLI E INDEPENDIENTES,SUBPACTO EVOPOLI E INDEPENDIENTES,INDEPENDIENTE,49
3,DE ATACAMA,HUASCO,4,ALTO DEL CARMEN,B,3,PACTO NUEVA MAYORIA PARA CHILE,SUBPACTO PDC E INDEPENDIENTES,INDEPENDIENTE,113
6,DEL LIBERTADOR BDO. O'HIGGINS,CACHAPOAL,15,OLIVAR,B,4,PACTO NUEVA MAYORIA PARA CHILE,SUBPACTO PS E INDEPENDIENTES,PARTIDO SOCIALISTA DE CHILE ,268
8,DEL BIOBIO,ÑUBLE,19,QUIRIHUE,G,13,PACTO CON LA FUERZA DEL FUTURO,"SUBPACTO IC, MAS REGION E INDEPENDIENTES",INDEPENDIENTE,188
8,DEL BIOBIO,BIOBIO,21,LOS ANGELES,O,58,PACTO YO MARCO POR EL CAMBIO,SUBPACTO PRO E INDEPENDIENTES,PARTIDO PROGRESISTA ,80
13,METROPOLITANA DE SANTIAGO,SANTIAGO,8,PUDAHUEL,O,51,PACTO YO MARCO POR EL CAMBIO,SUBPACTO PRO E INDEPENDIENTES,PARTIDO PROGRESISTA ,100
13,METROPOLITANA DE SANTIAGO,SANTIAGO,10,SAN JOAQUIN,O,43,PACTO YO MARCO POR EL CAMBIO,SUBPACTO PRO E INDEPENDIENTES,INDEPENDIENTE,52
15,ARICA Y PARINACOTA,ARICA,1,ARICA,M,79,PACTO PUEBLO UNIDO,,INDEPENDIENTE,19
5,DE VALPARAISO,VALPARAISO,7,VALPARAISO,G,22,PACTO CON LA FUERZA DEL FUTURO,SUBPACTO PRSD E INDEPENDIENTES,INDEPENDIENTE,1474
14,DE LOS RIOS,VALDIVIA,24,PAILLACO,O,26,PACTO YO MARCO POR EL CAMBIO,SUBPACTO PRO E INDEPENDIENTES,PARTIDO PROGRESISTA ,96
13,METROPOLITANA DE SANTIAGO,MAIPO,14,SAN BERNARDO,S,84,PACTO NUEVA MAYORIA POR CHILE,SUBPACTO PCCH E INDEPENDIENTES,INDEPENDIENTE,792
2,DE ANTOFAGASTA,ANTOFAGASTA,3,SIERRA GORDA,H,9,PACTO CHILE VAMOS RN E INDEPENDIENTES,,RENOVACION NACIONAL ,120
8,DEL BIOBIO,ÑUBLE,19,SAN FABIAN,C,10,PACTO PODER ECOLOGISTA Y CIUDADANO,,INDEPENDIENTE,60
7,DEL MAULE,CURICO,17,VICHUQUEN,J,17,PACTO CHILE VAMOS PRI-EVOPOLI E INDEPENDIENTES,SUBPACTO EVOPOLI E INDEPENDIENTES,INDEPENDIENTE,25
,AISEN DEL GRAL. CARLOS IBAÑEZ,COYHAIQUE,27,LAGO VERDE,H,15,PACTO CHILE VAMOS RN E INDEPENDIENTES,,RENOVACION NACIONAL ,31
13,METROPOLITANA DE SANTIAGO,CHACABUCO,8,LAMPA,R,44,PACTO JUSTICIA Y TRANSPARENCIA,,INDEPENDIENTE,275
13,METROPOLITANA DE SANTIAGO,TALAGANTE,14,PADRE HURTADO,L,33,PACTO CHILE VAMOS UDI-INDEPENDIENTES,,INDEPENDIENTE,128
,AISEN DEL GRAL. CARLOS IBAÑEZ,AISEN,27,CISNES,H,16,PACTO CHILE VAMOS RN E INDEPENDIENTES,,INDEPENDIENTE,87
